SaleProd Code,SaleProd Name,Specification,Specification Owner
001A0024,Advance SX 2 (FB/EGB) (solvent free),ISO-L-EGB,ISO - International Organisation for Standardisation
001A0024,Advance SX 2 (FB/EGB) (solvent free),JASO FB,JASO - Japanese Automobile Standards Organization
001A0026,Advance Ultra 2T (FD/TC/EGD),API TC,American Petroleum Institute (API)
001A0026,Advance Ultra 2T (FD/TC/EGD),ISO-L-EGD,ISO - International Organisation for Standardisation
001A0026,Advance Ultra 2T (FD/TC/EGD),JASO FD,JASO - Japanese Automobile Standards Organization
001A0032,AeroShell Calibrating Fluid 2,MIL-PRF-7024E Type II,US Military
001A0034,AeroShell Compound 05,Joint Service Designation PX-ll,Joint Service Designation
001A0036,AeroShell Compound 06A,ASTM D770,ASTM - American Society for Testing and Materials
001A0036,AeroShell Compound 06A,BSI BS 1595,BSI - British Standards Institution
001A0036,AeroShell Compound 06A,GSA: TT-I-735a Grade B,GSA - General Services Administration (U.S.)
001A0036,AeroShell Compound 06A,Joint Service Designation AL-11,Joint Service Designation
001A0037,AeroShell Compound 07,DTD.406B,DTD - Ministry of Defence Procurement Executive
001A0037,AeroShell Compound 07,Joint Service Designation AL-5,Joint Service Designation
001A0037,AeroShell Compound 07,NATO S-745,NATO - North Atlantic Treaty Organisation
001A0039,AeroShell Fluid 1,AIR 3515/B,AIR - Direction Technique des Constructions Aeronautiques
001A0039,AeroShell Fluid 1,DEF STAN 91-44,DEF STAN - Ministry of Defence
001A0039,AeroShell Fluid 1,Joint Service Designation OM-13,Joint Service Designation
001A0039,AeroShell Fluid 1,NATO O-134,NATO - North Atlantic Treaty Organisation
001A0041,AeroShell Fluid 12,AIR 3511/A,AIR - Direction Technique des Constructions Aeronautiques
001A0041,AeroShell Fluid 12,DEF STAN 91-49,DEF STAN - Ministry of Defence
001A0041,AeroShell Fluid 12,Joint Service Designation OX-14,Joint Service Designation
001A0041,AeroShell Fluid 12,MIL-PRF-6085D,US Military
001A0041,AeroShell Fluid 12,MIL-PRF-6085E,US Military
001A0041,AeroShell Fluid 12,MIL-QPL-CMS-OL-204,US Military
001A0041,AeroShell Fluid 12,NATO O-147,NATO - North Atlantic Treaty Organisation
001A0043,AeroShell Fluid 18,DEF STAN 91-79,DEF STAN - Ministry of Defence
001A0043,AeroShell Fluid 18,Joint Service Designation OX-14,Joint Service Designation
001A0043,AeroShell Fluid 18,MIL-PRF-32033,US Military
001A0043,AeroShell Fluid 18,NATO O-190,NATO - North Atlantic Treaty Organisation
001A0044,AeroShell Fluid 2F,AIR 1503/B Type B,AIR - Direction Technique des Constructions Aeronautiques
001A0044,AeroShell Fluid 2F,Joint Service Designation OX-270,Joint Service Designation
001A0044,AeroShell Fluid 2F,MIL-C-6529C Type II,US Military
001A0044,AeroShell Fluid 2F,NATO C-609,NATO - North Atlantic Treaty Organisation
001A0046,AeroShell Fluid 2XN,AIR 1503/B Type B Concentrate,AIR - Direction Technique des Constructions Aeronautiques
001A0046,AeroShell Fluid 2XN,DTD.4913A,DTD - Ministry of Defence Procurement Executive
001A0046,AeroShell Fluid 2XN,DTD.900,DTD - Ministry of Defence Procurement Executive
001A0046,AeroShell Fluid 2XN,Joint Service Designation ZX-21,Joint Service Designation
001A0046,AeroShell Fluid 2XN,MIL-C-6529C Type I,US Military
001A0046,AeroShell Fluid 2XN,NATO C-608,NATO - North Atlantic Treaty Organisation
001A0047,AeroShell Fluid 3,DEF STAN 91-47,DEF STAN - Ministry of Defence
001A0047,AeroShell Fluid 3,Joint Service Designation OM-12,Joint Service Designation
001A0047,AeroShell Fluid 3,MIL-PRF-7870D,US Military
001A0047,AeroShell Fluid 3,MIL-PRF-7870E,US Military
001A0047,AeroShell Fluid 3,NATO O-142,NATO - North Atlantic Treaty Organisation
001A0048,AeroShell Fluid 31,DCSEA 437/A,DCSEA - Service des Essences des Armees Direction
001A0048,AeroShell Fluid 31,Joint Service Designation OX-19,Joint Service Designation
001A0048,AeroShell Fluid 31,MIL-PRF-83282D,US Military
001A0048,AeroShell Fluid 31,NATO H-537,NATO - North Atlantic Treaty Organisation
001A0050,AeroShell Fluid 41,DCSEA 415/A,DCSEA - Service des Essences des Armees Direction
001A0050,AeroShell Fluid 41,DEF STAN 91-48,DEF STAN - Ministry of Defence
001A0050,AeroShell Fluid 41,Joint Service Designation OM-15,Joint Service Designation
001A0050,AeroShell Fluid 41,Joint Service Designation OM-18,Joint Service Designation
001A0050,AeroShell Fluid 41,MIL-QPL-CMS-OL-104,US Military
001A0050,AeroShell Fluid 41,NATO H-515,NATO - North Atlantic Treaty Organisation
001A0050,AeroShell Fluid 41,NATO H-520,NATO - North Atlantic Treaty Organisation
001A0051,AeroShell Fluid 5L-A,DEF STAN 91-112,DEF STAN - Ministry of Defence
001A0051,AeroShell Fluid 5L-A,Joint Service Designation OEP-30,Joint Service Designation
001A0051,AeroShell Fluid 5L-A,MIL-PRF-6086F,US Military
001A0051,AeroShell Fluid 5L-A,NATO O-153,NATO - North Atlantic Treaty Organisation
001A0052,AeroShell Fluid 5M-A,DEF STAN 91-112,DEF STAN - Ministry of Defence
001A0052,AeroShell Fluid 5M-A,Joint Service Designation OEP-70,Joint Service Designation
001A0052,AeroShell Fluid 5M-A,MIL-PRF-6086F,US Military
001A0052,AeroShell Fluid 5M-A,NATO O-155,NATO - North Atlantic Treaty Organisation
001A0053,AeroShell Fluid 61,MIL-PRF-46170D,US Military
001A0053,AeroShell Fluid 61,MIL-PRF-46170E Type I,US Military
001A0053,AeroShell Fluid 61,NATO H-544,NATO - North Atlantic Treaty Organisation
001A0055,AeroShell Fluid 71,DCSEA 535/A,DCSEA - Service des Essences des Armees Direction
001A0055,AeroShell Fluid 71,DEF STAN 80-142,DEF STAN - Ministry of Defence
001A0055,AeroShell Fluid 71,Joint Service Designation PX-26,Joint Service Designation
001A0055,AeroShell Fluid 71,MIL-PRF-6083F,US Military
001A0055,AeroShell Fluid 71,NATO C-635,NATO - North Atlantic Treaty Organisation
001A0059,AeroShell Grease 22,DCSEA 395/A,DCSEA - Service des Essences des Armees Direction
001A0059,AeroShell Grease 22,DEF STAN 91-52,DEF STAN - Ministry of Defence
001A0059,AeroShell Grease 22,DOD-G-24508A,DOD - Department of Defense (U.S.)
001A0059,AeroShell Grease 22,Joint Service Designation XG-293,Joint Service Designation
001A0059,AeroShell Grease 22,MIL-PRF-81322G,US Military
001A0059,AeroShell Grease 22,MIL-QPL-CMS-OL-301,US Military
001A0059,AeroShell Grease 22,NATO G-395,NATO - North Atlantic Treaty Organisation
001A0063,AeroShell Grease 5,DCSEA 359/A,DCSEA - Service des Essences des Armees Direction
001A0063,AeroShell Grease 5,DTD.878A,DTD - Ministry of Defence Procurement Executive
001A0063,AeroShell Grease 5,Joint Service Designation XG-277,Joint Service Designation
001A0063,AeroShell Grease 5,MIL-G-3545C,US Military
001A0063,AeroShell Grease 5,NATO G-359,NATO - North Atlantic Treaty Organisation
001A0064,AeroShell Grease 6,DCSEA 382/A,DCSEA - Service des Essences des Armees Direction
001A0064,AeroShell Grease 6,DEF STAN 91-12,DEF STAN - Ministry of Defence
001A0064,AeroShell Grease 6,Joint Service Designation XG-271,Joint Service Designation
001A0064,AeroShell Grease 6,MIL-G-7711A - Meets the requirements,US Military
001A0064,AeroShell Grease 6,MIL-PRF-24139A,US Military
001A0064,AeroShell Grease 6,NATO G-382,NATO - North Atlantic Treaty Organisation
001A0065,AeroShell Grease 7,MIL-PRF-23827C Type I,US Military
001A0065,AeroShell Grease 7,MIL-QPL-CMS-OL-302,US Military
001A0069,AeroShell LGF,Boeing BMS 3-32C Type II,Boeing
001A0069,AeroShell LGF,McDonnell Douglas DPM-6177,McDonnell Douglas
001A0070,AeroShell Oil 100,AIR 3560/D,AIR - Direction Technique des Constructions Aeronautiques
001A0070,AeroShell Oil 100,Joint Service Designation OM-270,Joint Service Designation
001A0070,AeroShell Oil 100,NATO O-117,NATO - North Atlantic Treaty Organisation
001A0070,AeroShell Oil 100,SAE J1966,SAE - Society of Automotive Engineers
001A0071,AeroShell Oil 120,Joint Service Designation OM-370,Joint Service Designation
001A0071,AeroShell Oil 120,SAE J1966,SAE - Society of Automotive Engineers
001A0072,AeroShell Oil 65,AIR 3560/D,AIR - Direction Technique des Constructions Aeronautiques
001A0072,AeroShell Oil 65,Joint Service Designation OM-107,Joint Service Designation
001A0072,AeroShell Oil 65,NATO O-113,NATO - North Atlantic Treaty Organisation
001A0072,AeroShell Oil 65,SAE J1966,SAE - Society of Automotive Engineers
001A0073,AeroShell Oil 80,AIR 3560/D,AIR - Direction Technique des Constructions Aeronautiques
001A0073,AeroShell Oil 80,Joint Service Designation OM-170,Joint Service Designation
001A0073,AeroShell Oil 80,SAE J1966,SAE - Society of Automotive Engineers
001A0074,AeroShell Oil W 100,AIR 3570,AIR - Direction Technique des Constructions Aeronautiques
001A0074,AeroShell Oil W 100,Joint Service Designation OMD-250,Joint Service Designation
001A0074,AeroShell Oil W 100,MHS 24B,Teledyne Continental Motors
001A0074,AeroShell Oil W 100,NATO O-125,NATO - North Atlantic Treaty Organisation
001A0074,AeroShell Oil W 100,Pratt and Whitney 1183-S,Pratt & Whitney
001A0074,AeroShell Oil W 100,SAE J1899,SAE - Society of Automotive Engineers
001A0074,AeroShell Oil W 100,Textron Lycoming 301F,Textron Lycoming
001A0075,AeroShell Oil W 120,AIR 3570,AIR - Direction Technique des Constructions Aeronautiques
001A0075,AeroShell Oil W 120,Joint Service Designation OMD-370,Joint Service Designation
001A0075,AeroShell Oil W 120,MHS 24B,Teledyne Continental Motors
001A0075,AeroShell Oil W 120,NATO O-128,NATO - North Atlantic Treaty Organisation
001A0075,AeroShell Oil W 120,Pratt and Whitney 1183-S,Pratt & Whitney
001A0075,AeroShell Oil W 120,SAE J1899,SAE - Society of Automotive Engineers
001A0075,AeroShell Oil W 120,Textron Lycoming 301F,Textron Lycoming
001A0076,AeroShell Oil W 65,MHS 24B,Teledyne Continental Motors
001A0076,AeroShell Oil W 65,Pratt and Whitney 1183-S,Pratt & Whitney
001A0076,AeroShell Oil W 65,SAE J1899,SAE - Society of Automotive Engineers
001A0076,AeroShell Oil W 65,Textron Lycoming 301F,Textron Lycoming
001A0077,AeroShell Oil W 80,AIR 3570,AIR - Direction Technique des Constructions Aeronautiques
001A0077,AeroShell Oil W 80,Joint Service Designation OMD-160,Joint Service Designation
001A0077,AeroShell Oil W 80,MHS 24B,Teledyne Continental Motors
001A0077,AeroShell Oil W 80,NATO O-123,NATO - North Atlantic Treaty Organisation
001A0077,AeroShell Oil W 80,Pratt and Whitney 1183-S,Pratt & Whitney
001A0077,AeroShell Oil W 80,SAE J1899,SAE - Society of Automotive Engineers
001A0077,AeroShell Oil W 80,Textron Lycoming 301F,Textron Lycoming
001A0079,AeroShell Turbine Oil 3,AIR 3515/B,AIR - Direction Technique des Constructions Aeronautiques
001A0079,AeroShell Turbine Oil 3,DEF STAN 91-99,DEF STAN - Ministry of Defence
001A0079,AeroShell Turbine Oil 3,Joint Service Designation OM-11,Joint Service Designation
001A0079,AeroShell Turbine Oil 3,NATO O-135,NATO - North Atlantic Treaty Organisation
001A0080,AeroShell Turbine Oil 308,Joint Service Designation OX-9,Joint Service Designation
001A0080,AeroShell Turbine Oil 308,MIL-PRF-7808L Type III,US Military
001A0080,AeroShell Turbine Oil 308,NATO O-148,NATO - North Atlantic Treaty Organisation
001A0081,AeroShell Turbine Oil 390,DEF STAN 91-94,DEF STAN - Ministry of Defence
001A0081,AeroShell Turbine Oil 390,Joint Service Designation OX-7,Joint Service Designation
001A0083,AeroShell Turbine Oil 500,Allison EMS- 53,Rolls-Royce Allison
001A0083,AeroShell Turbine Oil 500,DCSEA 299/A,DCSEA - Service des Essences des Armees Direction
001A0083,AeroShell Turbine Oil 500,DEF STAN 91-101,DEF STAN - Ministry of Defence
001A0083,AeroShell Turbine Oil 500,General Electric D-50 TF 1,General Electric (GE)
001A0083,AeroShell Turbine Oil 500,Joint Service Designation OX-27,Joint Service Designation
001A0083,AeroShell Turbine Oil 500,MIL-PRF-23699G Grade STD,US Military
001A0083,AeroShell Turbine Oil 500,NATO O-156,NATO - North Atlantic Treaty Organisation
001A0083,AeroShell Turbine Oil 500,Pratt and Whitney 521C Type II,Pratt & Whitney
001A0083,AeroShell Turbine Oil 500,SAE AS5780B,SAE - Society of Automotive Engineers
001A0084,AeroShell Turbine Oil 555,Allison EMS- 53,Rolls-Royce Allison
001A0084,AeroShell Turbine Oil 555,DEF STAN 91-100,DEF STAN - Ministry of Defence
001A0084,AeroShell Turbine Oil 555,DOD-PRF-85734A,DOD - Department of Defense (U.S.)
001A0084,AeroShell Turbine Oil 555,General Electric D-50 TF 1,General Electric (GE)
001A0084,AeroShell Turbine Oil 555,Joint Service Designation OX-26,Joint Service Designation
001A0084,AeroShell Turbine Oil 555,NATO O-160,NATO - North Atlantic Treaty Organisation
001A0084,AeroShell Turbine Oil 555,Pratt and Whitney 521C Type II,Pratt & Whitney
001A0085,AeroShell Turbine Oil 560,Allison EMS- 53,Rolls-Royce Allison
001A0085,AeroShell Turbine Oil 560,DCSEA 299/A,DCSEA - Service des Essences des Armees Direction
001A0085,AeroShell Turbine Oil 560,DEF STAN 91-101,DEF STAN - Ministry of Defence
001A0085,AeroShell Turbine Oil 560,General Electric D-50 TF 1,General Electric (GE)
001A0085,AeroShell Turbine Oil 560,Joint Service Designation OX-27,Joint Service Designation
001A0085,AeroShell Turbine Oil 560,MIL-PRF-23699G Grade HTS,US Military
001A0085,AeroShell Turbine Oil 560,MIL-QPL-CMS-OL-202,US Military
001A0085,AeroShell Turbine Oil 560,NATO O-154,NATO - North Atlantic Treaty Organisation
001A0085,AeroShell Turbine Oil 560,Pratt and Whitney 521C Type II,Pratt & Whitney
001A0085,AeroShell Turbine Oil 560,SAE AS5780B,SAE - Society of Automotive Engineers
001A0086,AeroShell Turbine Oil 750,AIR 3517/A,AIR - Direction Technique des Constructions Aeronautiques
001A0086,AeroShell Turbine Oil 750,DEF STAN 91-98,DEF STAN - Ministry of Defence
001A0086,AeroShell Turbine Oil 750,Joint Service Designation OX-38,Joint Service Designation
001A0086,AeroShell Turbine Oil 750,NATO O-149,NATO - North Atlantic Treaty Organisation
001A0129,Caprinus HD 40,API CD,American Petroleum Institute (API)
001A0129,Caprinus HD 40,LMOA Generation 3,Locomotive Maintenance Officers Association (LMOA)
001A0129,Caprinus HD 40,MIL-L-2104B,US Military
001A0131,Caprinus HPD 40,API CD,American Petroleum Institute (API)
001A0131,Caprinus HPD 40,LMOA Generation 5,Locomotive Maintenance Officers Association (LMOA)
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),ACEA B3,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),ACEA B3 - Meets engine test performance requirements,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),ACEA B4,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),ACEA B4 - Meets engine test performance requirements,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),API CF,American Petroleum Institute (API)
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),BMW Longlife-01,BMW Group AG
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),Fiat 9.55535-Z2 - Meets the requirements,Fiat
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),MB-Approval 229.5,Mercedes-Benz
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),Renault RN 0710 - Meets the requirements,Renault
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),VW Standard 502.00,Volkswagen AG (VW)
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),VW Standard 503.01,Volkswagen AG (VW)
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),VW Standard 503.01 - Meets requirements of,Volkswagen AG (VW)
001A0250,Helix Diesel Ultra 5W-30 (CF/B4),VW Standard 505.00,Volkswagen AG (VW)
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),ACEA B3,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),ACEA B3 - Meets engine test performance requirements,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),ACEA B4,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),ACEA B4 - Meets engine test performance requirements,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),API CF,American Petroleum Institute (API)
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),BMW Longlife-01,BMW Group AG
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),Fiat 9.55535-Z2 - Meets the requirements,Fiat
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),MB-Approval 229.5,Mercedes-Benz
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),Renault RN 0710 - Meets the requirements,Renault
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),VW Standard 502.00,Volkswagen AG (VW)
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),VW Standard 503.01,Volkswagen AG (VW)
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),VW Standard 503.01 - Meets requirements of,Volkswagen AG (VW)
001A0251,Helix Diesel Ultra 5W-40 (CF/B4),VW Standard 505.00,Volkswagen AG (VW)
001A0367,Mysella LA 40,API CD,American Petroleum Institute (API)
001A0378,Nautilus Premium Inboard 15W-40,ACEA A2,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0378,Nautilus Premium Inboard 15W-40,ACEA B2,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0378,Nautilus Premium Inboard 15W-40,ACEA E2,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0378,Nautilus Premium Inboard 15W-40,API CF,American Petroleum Institute (API)
001A0378,Nautilus Premium Inboard 15W-40,API CG-4,American Petroleum Institute (API)
001A0378,Nautilus Premium Inboard 15W-40,API SJ,American Petroleum Institute (API)
001A0378,Nautilus Premium Inboard 15W-40,Volvo VDS,Volvo 
001A0380,Nautilus Premium Outboard,NMMA TC-W3,NMMA - National Marine Manufacturers Association
001A0487,Rimula X 10W,API CF,American Petroleum Institute (API)
001A0500,Rotella DD 40,API CF,American Petroleum Institute (API)
001A0500,Rotella DD 40,API CF-2,American Petroleum Institute (API)
001A0500,Rotella DD 40,Detroit Diesel Corporation 7SE270 8810,Detroit Diesel Corporation
001A0531,Rotella TX 50 (CF/CD),API CF,American Petroleum Institute (API)
001A0576,Sirius 15W-40,ACEA E3,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0576,Sirius 15W-40,ACEA E5,ACEA - Association des Constructeurs Europeens d'Automobiles
001A0576,Sirius 15W-40,API CI-4,American Petroleum Institute (API)
001A0576,Sirius 15W-40,Caterpillar ECF-1A,Caterpillar
001A0576,Sirius 15W-40,Caterpillar ECF-2,Caterpillar
001A0576,Sirius 15W-40,Cummins CES 20071,Cummins
001A0576,Sirius 15W-40,Cummins CES 20072,Cummins
001A0576,Sirius 15W-40,Cummins CES 20075,Cummins
001A0576,Sirius 15W-40,Cummins CES 20076,Cummins
001A0576,Sirius 15W-40,MAN M 3275,MAN Nutzfahrzeuge AG (Corporate HQ)
001A0576,Sirius 15W-40,MB-Approval 228.3,Mercedes-Benz
001A0576,Sirius 15W-40,MTU MTL 5044,MTU-Friedrichshafen GmbH
001A0576,Sirius 15W-40,Volvo VDS-2,Volvo 
001A0586,Spirax AX 80W-90,API GL-5,American Petroleum Institute (API)
001A0586,Spirax AX 80W-90,MAN 342 Type M2,MAN Nutzfahrzeuge AG (Corporate HQ)
001A0586,Spirax AX 80W-90,MB-Approval 235.6,Mercedes-Benz
001A0586,Spirax AX 80W-90,US Military MIL-L-2105D,US Military
001A0586,Spirax AX 80W-90,ZF TE-ML 05A,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 05A - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 07A,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 07A - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 16C,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 17B,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 17B - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 19B,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 19B - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 21A,ZF Friedrichhafen AG
001A0586,Spirax AX 80W-90,ZF TE-ML 21A - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0607,Spirax MA 80W,API GL-4,American Petroleum Institute (API)
001A0607,Spirax MA 80W,MAN 341 Type E1,MAN Nutzfahrzeuge AG (Corporate HQ)
001A0607,Spirax MA 80W,MAN 341 Type Z1,MAN Nutzfahrzeuge AG (Corporate HQ)
001A0607,Spirax MA 80W,MB-Approval 235.1,Mercedes-Benz
001A0607,Spirax MA 80W,ZF TE-ML 17A,ZF Friedrichhafen AG
001A0608,Spirax MB 90,API GL-5,American Petroleum Institute (API)
001A0608,Spirax MB 90,MAN 342 Type M1,MAN Nutzfahrzeuge AG (Corporate HQ)
001A0608,Spirax MB 90,MB-Approval 235.0,Mercedes-Benz
001A0608,Spirax MB 90,MB-Approval 235.0 - Meets the service fill requirements,Mercedes-Benz
001A0608,Spirax MB 90,MIL-L-2105B,US Military
001A0608,Spirax MB 90,Volvo 97310,Volvo 
001A0608,Spirax MB 90,ZF TE-ML 16C,ZF Friedrichhafen AG
001A0608,Spirax MB 90,ZF TE-ML 17B,ZF Friedrichhafen AG
001A0608,Spirax MB 90,ZF TE-ML 17B - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0608,Spirax MB 90,ZF TE-ML 19B,ZF Friedrichhafen AG
001A0608,Spirax MB 90,ZF TE-ML 19B - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0608,Spirax MB 90,ZF TE-ML 21A,ZF Friedrichhafen AG
001A0608,Spirax MB 90,ZF TE-ML 21A - Suitable for use in applications which require,ZF Friedrichhafen AG
001A0694,Turbo GT 32,ASTM D4304-06a Type III,ASTM - American Society for Testing and Materials
001A0694,Turbo GT 32,Alstom HTGD 90 117,Alstom
001A0694,Turbo GT 32,Alstom HTGD 90 117 V0001 AA,Alstom
001A0694,Turbo GT 32,DIN 51515-1 L-TD,DIN
001A0694,Turbo GT 32,DIN 51515-2 L-TG,DIN
001A0694,Turbo GT 32,Elliot Turbo-machinery X-18-0004 - Meets the requirements,Elliott
001A0694,Turbo GT 32,General Electric GEK 107395A,General Electric (GE)
001A0694,Turbo GT 32,General Electric GEK 28143B,General Electric (GE)
001A0694,Turbo GT 32,General Electric GEK 32568J,General Electric (GE)
001A0694,Turbo GT 32,Siemens TLV 9013 04,Siemens AG Power Generation
001A0694,Turbo GT 32,Siemens TLV 9013 05,Siemens AG Power Generation
001A0694,Turbo GT 32,Solar ES 9-224Y Class II,Solar Turbines Inc.
001A0781,Ondina 15,FDA Regulation 21 CFR 172.878,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 173.340,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 175.105,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 175.210,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 175.230,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 175.300,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 176.170,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 176.180,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 176.200,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 176.210,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 177.1200,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 177.2260,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 177.2600,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 177.2800,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 178.3120,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 178.3570,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 178.3620(a),FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 178.3740,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 178.3910,FDA - Food and Drug Administration
001A0781,Ondina 15,FDA Regulation 21 CFR 573.680,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 172.878,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 173.340,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 175.105,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 175.210,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 175.230,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 175.300,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 176.170,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 176.180,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 176.200,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 176.210,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 177.1200,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 177.2260,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 177.2600,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 177.2800,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 178.3120,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 178.3570,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 178.3620(a),FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 178.3740,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 178.3910,FDA - Food and Drug Administration
001A0782,Ondina 32,FDA Regulation 21 CFR 573.680,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 172.878,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 173.340,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 175.105,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 175.210,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 175.230,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 175.300,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 176.170,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 176.180,FDA - Food and Drug Administration
001A0784,Ondina 68,FDA Regulation 21 CFR 176.200,FDA - Food and Drug Administration
